"","cocktails_name","ingredient_1","ingredient_2","ingredient_3","ingredient_4","ingredient_5","ingredient_6","ingredient_7","ingredient_8","ingredient_9","ingredient_10","ingredient_11","ingredient_12","abv","volume(ml)"
"886","Sherry Cobbler","Sherry:100.0","Simple Syrup:12.5","3 Orange Slices","6 Blueberries","","","","","","","","",15.9,112
"887","Shirley Temple","Ginger Ale:100.0","Orange Juice:50.0","Grenadine Syrup:1.0(splash)","Maraschino Cherry","","","","","","","","",4.1,156
"888","SideCar","Cognac:37.5","Triple Sec:12.5","Lemon Juice:20.0","Egg White:1.0(dash)","Sugar Syrup:5.0","Orange peel","","","","","","",26.1,76
"889","Silk Stocking","Tequila:37.5","Chambord:12.5","Crème de Cacao:12.5","Cream:12.5","","","","","","","","",26.4,75
"890","Silver Bullet","Gin:30.0","Scotch Whiskey:20.0","Lemon Twist","","","","","","","","","",39.2,50
"891","Silver Ghost","Rum:37.5","Velvet Falernum:12.5","Lime Juice:25.0","Apple Juice:25.0","Rock Candy Syrup:12.5","2 Cardamom Pods","Egg-White:1.0(dash)","Lime Wheel","","","","",15.1,113
"892","Singapore Sling","Gin:37.5","Cherry Heering:12.5","Benedictine:12.5","Lemon Juice:25.0","Orange Bitters:2.0(dash)","Angostura Bitters:2.0(dash)","Soda Water:1.0(dash)","Lemon slice","","","","",25.8,92
"894","Skittle Bomb","Triple Sec:25.0","Red Bull:250.0","","","","","","","","","","",3.7,275
"895","Skyscraper Manhattan","Bourbon Whiskey:70.0","Sweet Vermouth:12.5","Dry Vermouth:12.5","Old Fashioned Bitters:1.0(dash)","Top-Up Ginger Ale","","","","","","","",36.4,96
"896","Slammer Royale","Tequila:50.0","Champagne:50.0","","","","","","","","","","",25.8,100
"897","Slippery Nipple","Sambuca:15.0","Cream Liqueur:15.0","","","","","","","","","","",26.6,30
"900","Sneaky Pete","Coffee Liqueur:25.0","Rye Whiskey:25.0","Milk:100.0","","","","","","","","","",15.1,150
"901","Snickertini","Irish Cream Liqueur:12.5","Caramel Vodka:37.5","Chocolate Liqueur:12.5","Amaretto:12.5","Cream:1.0(splash)","Caramel Sauce","Chocolate Sauce","","","","","",26.7,81
"902","Snowball","Advocaat:37.5","top-up of Lemonade","Lemon Slice","","","","","","","","","",19.5,38
"903","Snowshoe","Bourbon Whiskey:20.0","Peppermint Schnapps:20.0","","","","","","","","","","",43.9,40
"904","Soda Shop Cola","Cola:200.0","Vanilla Extract:1.0(teaspoon)","Cherry Juice:1.0(teaspoon)","Lemon Wedge","","","","","","","","",0.8,210
"905","Sombrero","Coffee Liqueur:50.0","Cream","","","","","","","","","","",39.2,50
"906","Something Blue","Hpnotiq:50.0","White Wine:50.0","Ginger Ale:25.0","","","","","","","","","",12,125
"907","Soul Kiss","Whiskey:37.5","Dry Vermouth:25.0","Orange Juice:20.0","Dubonnet:20.0","","","","","","","","",27,102
"908","Soul Manhattan","Rye Whiskey:50.0","Absinthe:20.0","Angostura Bitters:1.0(dash)","","","","","","","","","",56.6,71
